condition,variant,role,beta_leak_or_max,gamma_per_h,I_ss,flip_2h,flip_4h,flip_8h,flip_16h
glucose repression,v3b-Untagged,OFF/false-positive,0.083,0.3,0.278,0.0054,0.0181,0.0527,0.1287
glucose repression,v3b-LVA,OFF/false-positive,0.083,1.34,0.062,0.0032,0.008,0.0178,0.037
no inducer,v3b-Untagged,OFF/false-positive,0.5,0.3,1.667,0.0309,0.0976,0.2561,0.5226
no inducer,v3b-LVA,OFF/false-positive,0.5,1.34,0.373,0.0188,0.046,0.0993,0.1972
arabinose (ON),v3b-Untagged,ON/true-positive,100.0,0.3,333.333,0.4877,0.7607,0.9489,0.9977
arabinose (ON),v3b-LVA,ON/true-positive,100.0,1.34,74.627,0.4687,0.7371,0.9359,0.9962
